Entry #,Institution,Country,Partner Source,Source / Note
356,Hult International Business School,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
357,Newcastle College (HE),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
358,Newcastle University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
359,"St Mary’s University, Twickenham",United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
360,University of Wales Trinity Saint David,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
361,Regent’s University London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
362,University of Exeter,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
363,University of Sheffield,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
364,University of Nottingham,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
365,University of Glasgow,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
366,University of Manchester,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
367,University of Leeds,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
368,University of St Andrews,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
369,University of Warwick,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
370,University of Chichester,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
371,University of Cumbria,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
372,The University of Edinburgh,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
373,University of the Arts London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
374,Imperial College London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
375,University of Oxford,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
376,University of Cambridge,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
377,King’s College London,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
378,University College London (UCL),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
379,London School of Economics and Political Science (LSE),United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
380,Queen Margaret University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
381,York St John University,United Kingdom,AHZ,https://www.ahzassociates.com/kenya/universities
